# check
7.8	83.6
5.1	83.0
5.5	79.8
4.2	82.4
0.7	76.8
5.7	76.5
2.0	87.7
8.1	81.8
10.5	80.4
355.4	86.5
18.0	83.2
17.4	65.6
360.0	75.4
5.0	71.4
6.7	77.6
8.5	84.2
4.9	81.1
1.8	79.1
15.8	81.6
359.7	73.0
10.2	70.2
0.7	79.6
7.1	86.3
17.0	80.7
5.3	73.4
1.2	83.9
6.7	78.1
6.7	82.4
356.6	85.5
183.1	87.9
2.6	83.4
13.0	81.0
6.9	82.0
3.9	79.2
4.6	80.6
6.5	85.9
3.6	79.9
2.6	75.4
9.5	76.8
2.5	75.4
7.1	77.7
14.4	77.2
1.0	71.3
6.9	86.9
10.3	67.4
2.2	77.3
11.5	84.5
4.8	79.8
11.0	74.6
12.4	77.4
9.0	78.5
10.3	84.3
4.0	81.3
1.1	69.6
8.0	78.2
6.2	76.0
5.1	84.3
2.7	81.4
5.7	78.0
3.7	88.5
4.1	84.8
5.8	85.1
5.2	79.5
356.3	85.3
358.0	76.3
7.9	68.7
357.8	84.3
8.9	77.4
354.5	79.3
355.9	81.4
1.9	77.6
7.1	86.3
5.0	81.1
4.2	77.7
1.0	86.3
353.5	86.6
7.8	78.4
17.5	80.5
7.5	81.4
4.9	81.9
18.9	77.7
14.6	79.9
6.8	85.6
10.1	84.3
4.3	81.7
10.8	75.4
2.9	84.7
8.4	83.7
5.6	81.1
1.7	74.8
6.7	81.0
13.7	89.5
356.7	65.5
14.8	78.1
359.3	89.9
1.8	87.1
9.0	70.6
7.9	80.3
5.8	84.4
358.4	79.4
278.3	89.3
90.3	89.0
91.5	79.3
87.7	87.2
77.0	70.5
92.1	69.5
261.1	76.8
99.4	85.4
106.5	81.2
241.3	80.4
129.0	89.7
127.1	36.9
74.9	66.2
89.9	54.2
95.2	72.8
280.5	87.5
89.7	83.3
80.5	77.4
122.3	84.8
74.1	59.0
105.7	50.7
77.0	78.8
276.2	81.2
125.9	82.0
90.9	60.3
258.5	88.2
95.1	74.4
95.1	87.3
244.7	83.5
264.4	63.6
262.7	89.8
114.1	82.9
95.6	86.1
86.7	77.5
88.9	81.9
274.6	82.4
85.8	79.8
82.9	66.2
103.6	70.3
82.6	66.1
96.4	73.0
118.2	71.7
77.9	53.8
275.7	79.2
105.9	42.2
81.5	72.0
289.4	86.5
89.3	79.3
108.1	63.9
112.1	72.3
102.1	75.6
285.9	87.1
86.9	83.9
78.2	48.8
99.1	74.7
93.5	68.0
270.2	87.1
83.0	84.1
92.0	74.1
266.2	74.6
267.2	85.5
272.5	84.6
90.6	78.5
243.9	84.1
69.0	68.9
98.7	46.1
248.4	87.1
101.7	72.1
58.4	77.8
62.6	84.1
80.7	72.8
276.4	81.0
89.9	83.4
87.6	73.1
258.0	81.0
235.4	80.2
98.5	75.2
127.6	81.6
97.4	84.2
89.7	85.7
131.7	73.0
118.7	79.7
275.4	83.3
285.4	87.0
87.9	85.2
107.5	66.3
263.8	86.0
280.2	88.9
91.9	83.2
80.0	64.5
95.1	83.0
296.1	71.5
65.0	36.5
119.4	74.3
253.0	70.2
260.3	78.6
101.9	51.8
98.6	80.9
272.3	86.9
70.3	78.1
20.5	12.1
15.2	11.0
16.0	4.5
13.5	9.8
186.3	1.3
196.4	2.0
9.1	20.4
21.3	8.6
26.0	5.8
355.9	18.1
41.0	11.5
219.8	23.7
184.9	4.2
195.0	12.2
18.5	0.2
22.0	13.3
14.8	7.2
8.7	3.2
36.5	8.2
184.4	9.0
205.5	14.5
6.3	4.2
19.1	17.5
39.0	6.3
195.6	8.1
7.3	12.9
18.4	1.3
18.4	9.9
358.1	16.0
11.3	29.3
10.1	11.8
31.1	7.0
18.7	9.0
12.8	3.3
14.3	6.3
18.0	16.8
12.2	4.9
190.3	4.2
204.0	1.5
190.1	4.3
19.2	0.3
213.8	0.5
186.9	12.5
18.8	18.8
205.6	20.2
189.4	0.4
27.9	14.0
14.5	4.5
207.1	5.8
209.8	0.1
23.1	2.1
25.6	13.6
12.9	7.6
187.1	15.8
21.1	1.5
197.3	3.0
15.1	13.6
10.3	7.8
16.4	1.1
12.5	21.9
13.1	14.7
16.7	15.3
15.4	4.0
357.6	15.6
181.0	2.4
200.8	17.6
0.6	13.6
202.8	0.3
353.9	3.5
356.7	7.7
8.8	0.2
19.3	17.7
15.0	7.2
13.4	0.4
7.0	17.7
352.0	18.2
20.7	1.8
40.1	6.1
19.9	7.8
14.8	8.8
42.8	0.3
34.1	4.8
18.6	16.1
25.3	13.6
13.6	8.5
206.6	4.2
10.9	14.3
21.8	12.4
16.3	7.1
188.3	5.3
18.4	7.0
32.4	24.0
178.3	24.0
34.6	1.2
3.7	24.9
8.5	19.3
202.9	13.8
20.7	5.6
16.6	13.8
1.9	3.8
